wl_ang,F13,F13+2.5*5F11,F13+5.0*5F11,F13+7.5*5F11,F13+10.0*5F11,F13+12.5*5F11,5F11
4861.4453125,112818912.0,340232512.0,567646080.0,795059712.0,1022473216.0,1249886848.0,104978648.0
4861.498046875,115372016.0,343211392.0,571050752.0,798890112.0,1026729472.0,1254568832.0,105188472.0
4861.55078125,118636680.0,346950240.0,575263808.0,803577344.0,1031890944.0,1260204416.0,105338056.0
4861.60400390625,122519976.0,351595360.0,580670784.0,809746176.0,1038821568.0,1267896960.0,105458728.0
4861.658203125,126889480.0,357558624.0,588227776.0,818896896.0,1049566016.0,1280235136.0,105556160.0
4861.71484375,131704568.0,365689568.0,599674560.0,833659584.0,1067644544.0,1301629568.0,105607432.0
4861.77734375,137155472.0,377085376.0,617015232.0,856945088.0,1096875008.0,1336804864.0,105556592.0
4861.8515625,143632720.0,390710144.0,637787520.0,884864896.0,1131942400.0,1379019776.0,105235736.0
4861.94970703125,151742624.0,404426688.0,657110784.0,909794816.0,1162478848.0,1415162880.0,104167648.0
4862.09814453125,162403072.0,408425984.0,654448896.0,900471744.0,1146494720.0,1392517632.0,99670744.0
4862.3515625,174730048.0,378794272.0,582858496.0,786922688.0,990986944.0,1195051136.0,82177464.0
4862.82421875,182731104.0,296574240.0,410417376.0,524260512.0,638103680.0,751946752.0,45933036.0
4863.7548828125,177338320.0,220253072.0,263167840.0,306082592.0,348997344.0,391912096.0,17524548.0
4865.642578125,157854384.0,171043280.0,184232176.0,197421072.0,210609968.0,223798864.0,5623311.5
4869.5322265625,133349520.0,137639440.0,141929360.0,146219280.0,150509200.0,154799104.0,2060700.0
4877.61669921875,116651240.0,118908008.0,121164784.0,123421552.0,125678320.0,127935088.0,1245768.5
4894.52587890625,110339920.0,112193392.0,114046856.0,115900328.0,117753792.0,119607264.0,1081989.875
5130.0,98567792.0,100370096.0,102172400.0,103974696.0,105777000.0,107579304.0,1100841.875
5790.0,73696648.0,75553040.0,77409440.0,79265832.0,81122232.0,82978624.0,1198306.25
6010.0,67115752.0,68976896.0,70838032.0,72699176.0,74560320.0,76421464.0,1221354.625
6518.97021484375,54453308.0,56397072.0,58340836.0,60284596.0,62228360.0,64172124.0,1305440.625
6534.27880859375,55088324.0,57138104.0,59187888.0,61237668.0,63287448.0,65337232.0,1345418.75
6544.17431640625,56830380.0,59182416.0,61534456.0,63886492.0,66238532.0,68590568.0,1464849.0
6550.5673828125,59989464.0,63128008.0,66266548.0,69405088.0,72543632.0,75682176.0,1778736.25
