t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,q_mean,flags
991994251.995,991994261.995,991994257.5622221,991994254.665,991994261.77,-0.21957220934177302,0.7105411450710174,-4.5231875124405243e-17,1.4637147588462959e-16,,,,-0.3608065156967445,0.7252288839075748,-7.432614223352936e-17,1.493971500849604e-16,,,,1.5808449558189352,0.4858413230597271,3.2565406089870065e-16,1.0008331255030379e-16,19.582776805457538,0.29096319575284824,0.3986842945823419,9.0,10.587408109866773,21.0,18.08692676539979,6.697309607052584,12.05795117693319,13.003841053729749,0.8501618407647933,213.58258056640625,133.4606170654297,325.26096741450846,295.86395785422224,50.13360940112222,8.55555534362793,32.0
991994261.995,991994271.995,991994268.53125,991994262.46,991994270.78,-0.015756686155966537,0.5847159147324417,-3.2458773481291067e-18,1.2045147843488297e-16,,,,-0.677636124798944,0.6563926378627822,-1.3959304170858246e-16,1.3521688339973314e-16,,,,1.2640153467167359,0.41217408625998964,2.603871614236476e-16,8.490786176955787e-17,19.8256191328676,0.30642687899628385,0.4284841869372116,8.0,9.404664907241035,17.0,14.282849284333462,7.440309116237817,9.52189952288897,14.446487144074684,0.8506871276023359,211.32257080078125,132.05615234375,327.7088308026836,295.864849904125,50.1339548406375,9.5,32.0
991994271.995,991994281.995,991994277.4233333,991994272.355,991994281.05,0.15056271392828396,0.606124853476626,3.10159190692265e-17,1.2486171981618496e-16,22.135706413965544,1.752997910071855,,-0.4988836868948575,0.6742604105573838,-1.0277003950034064e-16,1.3889764457482106e-16,,,,1.4427677846208222,0.44023422241659493,2.9721016363188935e-16,9.068824981781856e-17,19.682008908879766,0.28913586617688836,0.39524378966995144,9.0,10.74051911782654,17.0,14.429508421800369,7.444385182643432,9.619672281200241,14.454401444409143,0.8381703341823796,210.03627014160156,131.23675537109375,329.1198874653002,295.8658027154445,50.13439417654445,7.333333492279053,32.0
991994281.995,991994291.995,991994282.81,991994282.81,991994282.81,0.860166610162201,1.8005079504119383,1.771943216934134e-16,3.709046377848593e-16,20.24354354960639,1.2260229426832332,,-0.31311657006136395,2.1974309669764454,-6.450201343264097e-17,4.526707791971477e-16,,,,1.628534901454316,1.484117655743175,3.354781896995891e-16,3.05728237083094e-16,19.550507323870587,0.7033339394918237,2.6304450311691205,1.0,1.204085918748735,1.0,0.852159912997556,0.7393675859654348,0.5681066086650371,1.4355941612807825,0.8305055182766214,210.36700439453125,128.4423370361328,331.2162999260468,295.861292159,50.1304827749,8.0,36.0
991994321.995,991994331.995,991994328.3235714,991994325.62,991994331.74,0.3379838109725042,0.7444333334836509,6.962466506033586e-17,1.533532666976321e-16,21.25776025354913,1.263746909686148,,-0.3257985825068122,0.8254107699722264,-6.711450799640332e-17,1.7003461861427863e-16,,,,1.6158528890088675,0.5562862433975123,3.3286569513582667e-16,1.1459496613988754e-16,19.558995452344035,0.3212145517137692,0.4581838512424028,7.0,8.43736811921293,12.0,10.008818153766533,5.221618983141619,6.672545435844354,10.138564182311132,0.8298547022592667,208.19187927246094,119.65142822265625,339.6846727107755,295.86581071214283,50.1335805659,5.857142925262451,32.0
991994331.995,991994341.995,991994337.7730001,991994332.045,991994341.86,0.4253433255828872,0.6275693335916047,8.762072507007476e-17,1.2927928271987058e-16,21.008150944206967,0.9841318123136915,,-0.25850709001358035,0.6967227729150047,-5.3252460542797554e-17,1.4352489122049098e-16,,,,1.6831443815020994,0.47476524130407477,3.467277425894325e-16,9.78016397086394e-17,19.514696570725665,0.269779699931064,0.3597953802718159,10.0,12.568542325472563,17.0,14.088564815428748,7.467298981360076,9.392376543619163,14.49889205540533,0.7968326894366337,210.88497924804688,120.1882553100586,337.7263737708985,295.8653964306,50.13343012714999,8.300000190734863,32.0
991994341.995,991994351.995,991994345.8920001,991994342.315,991994350.8,0.4124221573800579,0.78047756692855,8.495896442029192e-17,1.607783787872813e-16,21.041645025727636,1.1531548712618935,,0.5402850331294275,0.7694365819995255,1.1129871682466208e-16,1.5850393589190223e-16,20.74844265758793,0.9613901450835449,,2.481936504645107,0.576342743389126,5.112789199568921e-16,1.1872660513815997e-16,19.093023333115568,0.22671617768287433,0.28690086113535784,15.0,18.5446941322794,28.0,23.19469726596529,7.471864851325481,15.46313151064352,14.507757383542407,0.8097101222710296,211.86727905273438,119.61775970458984,337.6508868107632,295.86423364573335,50.13312529568667,5.599999904632568,32.0
991994351.995,991994361.995,991994357.595,991994353.895,991994361.455,0.6474260690227703,0.7252150063664818,1.3336977021869069e-16,1.4939429131149525e-16,20.552024543594044,0.8159170204148616,,0.34554166774060824,0.7525743208077943,7.11815835545653e-17,1.5503031008640563e-16,21.23374893744875,1.2553694747241586,,2.287193139256288,0.5534647315197515,4.711617866867954e-16,1.140137346930688e-16,19.181742900932186,0.2352902268960797,0.3008044357956301,14.0,17.077558284662345,22.0,18.36522935113072,7.466600870539225,12.24348623408714,14.497536567502744,0.8200910741594795,210.1623077392578,118.39964294433594,339.6131777430931,295.8648743881428,50.13322265044285,5.785714149475098,32.0
991994361.995,991994371.995,991994367.2199998,991994364.335,991994371.46,0.479008797586243,0.6356393853275726,9.867581230276605e-17,1.3094171337747994e-16,20.879141275398492,0.9169858063486664,,-0.19317960427945532,0.7028720986460043,-3.9794998481567793e-17,1.4479165232107689e-16,,,,1.7484718672362247,0.48382152626148767,3.601852046506623e-16,9.966723440986646e-17,19.47335337764958,0.26523156254649294,0.3517204587214735,11.0,13.060112668445855,17.0,14.223274931154473,7.469443983156401,9.48218328743631,14.503056901299567,0.8423759950635842,208.72378540039062,117.18671417236328,341.4234100236543,295.86512123845455,50.13342634195454,7.636363506317139,32.0
991994371.995,991994381.995,991994374.4366666,991994372.635,991994376.445,1.0202909752735227,0.8679440382734392,2.1017994090634567e-16,1.787964718843285e-16,20.05818988693231,0.6683300031705173,2.0647257956393545,-0.024392388924573183,1.0163528355421456,-5.024832118462075e-18,2.09368684121682e-16,,,,1.9172590825911064,0.7163950047983729,3.949553710137679e-16,1.4757737098846483e-16,19.373297990448368,0.34469482228684356,0.5079673753182767,6.0,7.162365996547293,6.0,5.026248614628924,3.7357319423244633,3.3508324097526145,7.2534894230024225,0.8378779699961538,206.7484130859375,116.55191802978516,343.0582909906086,295.8669006676667,50.13336443714999,6.166666507720947,36.0
